model,accuracy,f1_macro,roc_auc_ovr_macro
ZoneConditioned_BuySell_RandomForest,0.9523809523809523,0.9523329129886506,0.9929435483870968
Combined_Enhanced_ThresholdTuned_BlendCal,0.875,0.522709824670609,0.84989409765457
NonCombined_RandomForest,0.907520325203252,0.4594578723604163,0.8056298058125649
Combined_Stacking_Baseline,0.676829268292683,0.44763694991420033,0.8384985054151345
Combined_Enhanced_ThresholdTuned_StackCal,0.7571138211382114,0.4086818492380928,0.7955943846130104
NonCombined_XGBoost,0.926829268292683,0.3826369728025227,0.8099491432766666
NonCombined_LogReg,0.5315040650406504,0.3553242573537678,0.795471525306545
Combined_Enhanced_CalibratedBlend,0.9247967479674797,0.32030975008799717,0.84989409765457
Combined_CNN_FocalWeighted_EarlyStop,0.0560081466395112,0.07106049878058375,0.6417767959522623
